도감번호,이름,과,꽃색,색_근거,꽃형태,목본,관찰건수
1887,태백제비꽃,Violaceae,#F8F6F2,이름,violet,,7180
1640,조록싸리,Fabaceae,#B070AC,종,pea,,7159
675,당단풍나무,Aceraceae,#C8CC88,종,tiny_cluster,Y,6680
625,노린재나무,Symplocaceae,#F8F6F2,종,panicle_small,Y,6670
1164,산초나무,Rutaceae,#D8DCA8,종,petal5,Y,6483
815,때죽나무,Styracaceae,#F8F6F2,종,petal5,Y,6359
668,닭의장풀,Commelinaceae,#5878C8,종,commelina,,6015
1600,작살나무,Verbenaceae,#B49AD0,종,panicle_small,Y,5837
1132,산딸기,Rosaceae,#F8F5F0,종,petal5,,5760
1377,애기나리,Liliaceae,#F5F2EC,종,tepal6,,5760
1790,청미래덩굴,Liliaceae,#F0E0C0,과,tepal6,,5753
2013,화살나무,Celastraceae,#C8D0A0,종,tiny_cluster,Y,5391
1951,풍도둥굴레,Liliaceae,#F0E0C0,과,tepal6,,5292
1895,털고로쇠나무,Aceraceae,#C8CC88,과,tiny_cluster,Y,5174
1645,졸방제비꽃,Violaceae,#9888C8,과,violet,,4860
1743,쪽동백나무,Styracaceae,#F8F6F2,종,petal5,Y,4852
389,고추나무,Staphyleaceae,#F8F6F2,종,panicle_small,Y,4780
931,미국자리공,Phytolaccaceae,#9870B8,이름,tiny_spike,,4629
413,괭이밥,Oxalidaceae,#F0D058,종,star5,,4603
872,멍석딸기,Rosaceae,#E890A8,종,petal5,,4389
749,두메꿀풀,Lamiaceae,#A888C8,과,lipped_spike,,4365
702,댕댕이덩굴,Menispermaceae,#D8DCA8,과,tiny_cluster,Y,4306
1549,으름덩굴,Lardizabalaceae,#C8A0C0,과,tiny_cluster,Y,4142
623,노루발,Pyrolaceae,#F2F0E8,과,bell,,4023
1768,참으아리,Ranunculaceae,#F0C848,과,petal5,,3983
705,덜꿩나무,Caprifoliaceae,#F5EFE6,과,two_lip,Y,3926
1275,소리쟁이,Polygonaceae,#F0D8DC,과,tiny_spike,,3862
632,누리장나무,Verbenaceae,#F0E8E0,종,panicle_small,Y,3844
1029,보리수나무,Elaeagnaceae,#F0E8C0,과,bell,Y,3785
1086,비목나무,Lauraceae,#E8DC90,종,tiny_cluster,Y,3770
742,돼지풀,Asteraceae,#F0C048,과,ray_disc,,3764
325,개옻나무,Anacardiaceae,#D8DCA8,종,panicle_small,Y,3742
1121,산괴불주머니,Fumariaceae,#C0A0D0,과,spurred,,3678
377,계요등,Rubiaceae,#F2F2EA,과,star5,,3669
777,둥근잎천남성,Araceae,#C0C888,과,arum,,3657
1559,이고들빼기,Asteraceae,#F0C848,종,ray_disc,,3610
1138,산박하,Lamiaceae,#A888C8,과,lipped_spike,,3609
852,맑은대쑥,Asteraceae,#F0F0EC,이름,ray_disc,,3597
1801,층층나무,Cornaceae,#F0F0E4,과,cross4,Y,3593
671,담쟁이덩굴,Vitaceae,#C8CC90,종,tiny_cluster,Y,3562
