도감번호,이름,학명,과,개화기,계절,대표색,희귀도,주요서식지,AI난이도,비슷한꽃,일러스트배치,비고
1,개나리,Forsythia koreana,물푸레나무과,3~4월,봄,노랑,흔함,담장·공원 울타리,하,산수유,1,봄 최초 발견 후보. 온보딩 추천 1순위
2,진달래,Rhododendron mucronulatum,진달래과,3~4월,봄,분홍,흔함,산지·공원 사면,중,"철쭉,영산홍",1,잎보다 꽃이 먼저 핌 = 철쭉과 구분 포인트
3,철쭉,Rhododendron schlippenbachii,진달래과,4~5월,봄,분홍,흔함,산지·공원,중,"진달래,영산홍",1,진달래와 오인 최다. 잎 동반 여부로 판별
4,영산홍,Rhododendron indicum,진달래과,4~5월,봄,붉은색,흔함,화단·가로 조경,중,"철쭉,진달래",1,도심 화단 최다 관목
5,벚꽃,Prunus × yedoensis,장미과,4월,봄,분홍,흔함,가로수·공원,상,"매화,살구꽃,자두꽃",1,종은 왕벚나무. 도감 표시명은 대중 인지명 '벚꽃'으로 확정. 봄 시즌 최다 촬영 예상
6,매화,Prunus mume,장미과,2~4월,겨울,흰색,보통,공원·정원,상,"벚꽃,살구꽃",1,벚꽃보다 이름. 꽃자루 짧음
7,살구꽃,Prunus armeniaca,장미과,4월,봄,분홍,보통,주택가·농가,상,"매화,벚꽃,복사꽃",2,Prunus속 4종 혼동 그룹
8,복사꽃,Prunus persica,장미과,4~5월,봄,분홍,보통,과수원·주택가,상,"살구꽃,벚꽃",2,표시명 '복숭아꽃' 병기 검토
9,자두꽃,Prunus salicina,장미과,4월,봄,흰색,보통,과수원·주택가,상,"매화,벚꽃",3,
10,백목련,Magnolia denudata,목련과,3~4월,봄,흰색,흔함,공원·학교,중,"목련,자목련",1,도심 식재 대부분이 백목련
11,목련,Magnolia kobus,목련과,3~4월,봄,흰색,보통,공원·산지,중,백목련,2,표시명 '토종 목련' 검토
12,자목련,Magnolia liliiflora,목련과,4~5월,봄,보라,보통,공원·정원,하,백목련,2,
13,산수유,Cornus officinalis,층층나무과,3~4월,봄,노랑,흔함,공원·가로수,중,"개나리,생강나무",1,개나리와 색 동일. 꽃 형태로 구분
14,생강나무,Lindera obtusiloba,녹나무과,3월,봄,노랑,보통,산지 등산로,상,산수유,3,산행 사용자용
15,동백꽃,Camellia japonica,차나무과,12~4월,겨울,붉은색,보통,남부 해안·공원,하,애기동백,1,겨울 시즌 콘텐츠 핵심
16,애기동백,Camellia sasanqua,차나무과,10~12월,겨울,분홍,보통,공원·정원,중,동백꽃,2,
17,명자나무꽃,Chaenomeles speciosa,장미과,4~5월,봄,붉은색,보통,정원·울타리,중,동백꽃,2,
18,조팝나무,Spiraea prunifolia,장미과,4월,봄,흰색,흔함,공원·도로변,중,쥐똥나무,1,흰 좁쌀 모양 군집
19,수수꽃다리,Syringa dilatata,물푸레나무과,4~5월,봄,보라,흔함,공원·학교,중,-,1,표시명 '라일락' 병기 필수 — 대중 인지명
