도감번호,이름,KPNI국명,학명,관찰기준학명,과,자생구분,관찰건수,개화기_초안,계절_초안,희귀도_초안,관찰합계,관찰월분포,출처,기존200종,기존학명_낡음,대표색,주요서식지,AI난이도,비슷한꽃
14,생강나무,생강나무,Lindera obtusiloba,,Lauraceae,자생식물,8756,,,흔함,4083,1:67/2:12/3:344/4:757/5:764/6:539/7:362/8:290/9:468/10:409/11:67/12:4,GBIF관찰+KPNI정명,Y,,노랑,산지 등산로,상,산수유
,태백제비꽃,태백제비꽃,Viola albida,,Violaceae,자생식물,7180,4~5월,봄,흔함,2185,1:47/2:2/3:163/4:845/5:466/6:197/7:113/8:96/9:137/10:94/11:25/12:0,GBIF관찰+KPNI정명,,,,,,
,조록싸리,조록싸리,Lespedeza maximowiczii,,Fabaceae,자생식물,7159,5~9월,여름,흔함,2194,1:80/2:0/3:6/4:47/5:318/6:644/7:368/8:256/9:282/10:168/11:24/12:1,GBIF관찰+KPNI정명,,,,,,
,당단풍나무,당단풍나무,Acer pseudosieboldianum,,Aceraceae,자생식물,6680,,,흔함,2179,1:63/2:0/3:12/4:226/5:436/6:362/7:272/8:201/9:290/10:275/11:38/12:4,GBIF관찰+KPNI정명,,,,,,
,노린재나무,노린재나무,Symplocos sawafutagi,,Symplocaceae,자생식물,6670,5~6월,여름,흔함,2278,1:45/2:0/3:12/4:254/5:771/6:340/7:209/8:191/9:289/10:153/11:14/12:0,GBIF관찰+KPNI정명,,,,,,
,산초나무,산초나무,Zanthoxylum schinifolium,,Rutaceae,자생식물,6483,5~10월,여름,흔함,2943,1:179/2:8/3:31/4:139/5:455/6:350/7:411/8:441/9:559/10:334/11:35/12:1,GBIF관찰+KPNI정명,,,,,,
,때죽나무,때죽나무,Styrax japonicus,,Styracaceae,자생식물,6359,5~6월,여름,흔함,1906,1:39/2:6/3:25/4:154/5:649/6:300/7:224/8:157/9:222/10:120/11:10/12:0,GBIF관찰+KPNI정명,,,,,,
2,진달래,진달래,Rhododendron mucronulatum,,Ericaceae,자생식물,6243,3~5월,봄,흔함,2818,1:62/2:6/3:400/4:870/5:451/6:252/7:162/8:140/9:262/10:158/11:45/12:10,GBIF관찰+KPNI정명,Y,,분홍,산지·공원 사면,중,"철쭉,영산홍"
,닭의장풀,닭의장풀,Commelina communis,,Commelinaceae,자생식물,6015,6~9월,여름,흔함,2855,1:101/2:0/3:2/4:55/5:209/6:354/7:497/8:567/9:815/10:227/11:28/12:0,GBIF관찰+KPNI정명,,,,,,
,작살나무,작살나무,Callicarpa japonica,,Verbenaceae,자생식물,5837,5~10월,여름,흔함,2220,1:116/2:2/3:9/4:89/5:304/6:466/7:323/8:202/9:345/10:284/11:74/12:6,GBIF관찰+KPNI정명,,,,,,
,애기나리,애기나리,Disporum smilacinum,,Liliaceae,자생식물,5760,4~6월,봄,흔함,1983,1:53/2:0/3:7/4:305/5:648/6:284/7:174/8:156/9:219/10:125/11:12/12:0,GBIF관찰+KPNI정명,,,,,,
,산딸기,산딸기,Rubus crataegifolius,,Rosaceae,자생식물,5760,5~7월,여름,흔함,2594,1:49/2:0/3:15/4:293/5:847/6:510/7:324/8:182/9:174/10:159/11:41/12:0,GBIF관찰+KPNI정명,,,,,,
,청미래덩굴,청미래덩굴,Smilax china,,Liliaceae,자생식물,5753,4~6월,봄,흔함,2143,1:107/2:10/3:38/4:333/5:577/6:284/7:173/8:158/9:266/10:150/11:43/12:4,GBIF관찰+KPNI정명,,,,,,
26,쥐똥나무,쥐똥나무,Ligustrum obtusifolium,,Oleaceae,자생식물,5645,4~7월,여름,흔함,2245,1:74/2:3/3:48/4:211/5:595/6:456/7:211/8:188/9:247/10:161/11:46/12:5,GBIF관찰+KPNI정명,Y,,흰색,울타리·도로변,중,"이팝나무,조팝나무"
29,찔레꽃,찔레꽃,Rosa multiflora,,Rosaceae,자생식물,5463,4~6월,봄,흔함,1739,1:4/2:6/3:51/4:231/5:615/6:266/7:97/8:49/9:176/10:204/11:39/12:1,GBIF관찰+KPNI정명,Y,,흰색,들·산기슭,중,"장미,해당화"
,화살나무,화살나무,Euonymus alatus,,Celastraceae,자생식물,5391,4~6월,봄,흔함,2029,1:75/2:4/3:44/4:425/5:596/6:229/7:168/8:117/9:160/10:149/11:54/12:8,GBIF관찰+KPNI정명,,,,,,
,풍도둥굴레,풍도둥굴레,Polygonatum odoratum,,Liliaceae,자생식물,5292,4~6월,봄,흔함,1981,1:39/2:0/3:4/4:305/5:727/6:318/7:195/8:138/9:159/10:89/11:7/12:0,GBIF관찰+KPNI정명,,,,,,
,털고로쇠나무,털고로쇠나무,Acer pictum,,Aceraceae,자생식물,5174,4~9월,여름,흔함,1262,1:34/2:1/3:4/4:150/5:312/6:217/7:167/8:130/9:134/10:96/11:17/12:0,GBIF관찰+KPNI정명,,,,,,
