배치,순번,도감번호,파일명,꽃이름,학명,계절,대표색,형태 참고,특징 (일러스트 시 강조점),작업상태,1차 시안,피드백,최종
1,1,110,flower_110_코스모스.svg,코스모스,Cosmos bipinnatus,가을,분홍,국화과 · 8~10월 개화 · 하천변·길가,가을 시즌 대표. 온보딩 추천 / '노랑코스모스'와 구분되게,미착수,,,
1,2,179,flower_179_국화.svg,국화,Chrysanthemum morifolium,가을,기타,국화과 · 10~11월 개화 · 화단·전시·화분,"가을 시즌 대표. 품종 다수 → 통합 표시 / '산국,감국'와 구분되게",미착수,,,
1,3,182,flower_182_구절초.svg,구절초,Dendranthema zawadskii,가을,흰색,국화과 · 9~10월 개화 · 산지·화단,"흰색 계열 가을꽃 / '쑥부쟁이,벌개미취'와 구분되게",미착수,,,
1,4,183,flower_183_벌개미취.svg,벌개미취,Aster koraiensis,가을,보라,국화과 · 6~10월 개화 · 도로변·공원,"한국 고유종. 경관 식재 최다 / '쑥부쟁이,개미취'와 구분되게",미착수,,,
1,5,184,flower_184_쑥부쟁이.svg,쑥부쟁이,Aster yomena,가을,보라,국화과 · 8~10월 개화 · 길가·풀밭,"'쑥부쟁이 3종' 혼동 그룹 — 통합 여부 결정 필요 / '벌개미취,미국쑥부쟁이'와 구분되게",미착수,,,
1,6,188,flower_188_꽃무릇.svg,꽃무릇,Lycoris radiata,가을,붉은색,수선화과 · 9~10월 개화 · 사찰·공원,표시명 '석산' 병기. 군락 명소 다수 = 지도 콘텐츠 / '상사화'와 구분되게,미착수,,,
1,7,199,flower_199_억새.svg,억새,Miscanthus sinensis,가을,기타,벼과 · 9~10월 개화 · 산지·하천·억새밭,꽃이삭. 가을 촬영 수요 매우 높음 → 도감 포함 / 도감 외 혼동종: 갈대 / '수크령'와 구분되게,미착수,,,
1,8,6,flower_006_매화.svg,매화,Prunus mume,겨울,흰색,장미과 · 2~4월 개화 · 공원·정원,"벚꽃보다 이름. 꽃자루 짧음 / '벚꽃,살구꽃'와 구분되게",미착수,,,
1,9,15,flower_015_동백꽃.svg,동백꽃,Camellia japonica,겨울,붉은색,차나무과 · 12~4월 개화 · 남부 해안·공원,겨울 시즌 콘텐츠 핵심 / '애기동백'와 구분되게,미착수,,,
1,10,1,flower_001_개나리.svg,개나리,Forsythia koreana,봄,노랑,물푸레나무과 · 3~4월 개화 · 담장·공원 울타리,봄 최초 발견 후보. 온보딩 추천 1순위 / '산수유'와 구분되게,미착수,,,
1,11,2,flower_002_진달래.svg,진달래,Rhododendron mucronulatum,봄,분홍,진달래과 · 3~4월 개화 · 산지·공원 사면,"잎보다 꽃이 먼저 핌 = 철쭉과 구분 포인트 / '철쭉,영산홍'와 구분되게",미착수,,,
1,12,3,flower_003_철쭉.svg,철쭉,Rhododendron schlippenbachii,봄,분홍,진달래과 · 4~5월 개화 · 산지·공원,"진달래와 오인 최다. 잎 동반 여부로 판별 / '진달래,영산홍'와 구분되게",미착수,,,
1,13,4,flower_004_영산홍.svg,영산홍,Rhododendron indicum,봄,붉은색,진달래과 · 4~5월 개화 · 화단·가로 조경,"도심 화단 최다 관목 / '철쭉,진달래'와 구분되게",미착수,,,
1,14,5,flower_005_벚꽃.svg,벚꽃,Prunus × yedoensis,봄,분홍,장미과 · 4월 개화 · 가로수·공원,"종은 왕벚나무. 도감 표시명은 대중 인지명 '벚꽃'으로 확정. 봄 시즌 최다 촬영 예상 / '매화,살구꽃,자두꽃'와 구분되게",미착수,,,
1,15,10,flower_010_백목련.svg,백목련,Magnolia denudata,봄,흰색,목련과 · 3~4월 개화 · 공원·학교,"도심 식재 대부분이 백목련 / '목련,자목련'와 구분되게",미착수,,,
