파일명,도감번호,이름,학명,과,개화기_초안,희귀도_초안,상태
0001_개나리.png,1,개나리,Forsythia koreana,Oleaceae,3~4월,흔함,납품됨(4자리로 개명 필요)
0002_진달래.png,2,진달래,Rhododendron mucronulatum,Ericaceae,3~5월,흔함,납품됨(4자리로 개명 필요)
0003_철쭉.png,3,철쭉,Rhododendron schlippenbachii,Ericaceae,4~7월,흔함,납품됨(4자리로 개명 필요)
0004_영산홍.png,4,영산홍,Rhododendron indicum,,,,납품됨(4자리로 개명 필요)
0005_벚꽃.png,5,벚꽃,Prunus yedoensis,,,,납품됨(4자리로 개명 필요)
0006_매화.png,6,매화,Prunus mume,Rosaceae,3월,흔함,납품됨(4자리로 개명 필요)
0007_살구꽃.png,7,살구꽃,Prunus armeniaca,Rosaceae,3~6월,보통,납품됨(4자리로 개명 필요)
0008_복사꽃.png,8,복사꽃,Prunus persica,Rosaceae,,,납품됨(4자리로 개명 필요)
0009_자두꽃.png,9,자두꽃,Prunus salicina,Rosaceae,,보통,납품됨(4자리로 개명 필요)
0010_백목련.png,10,백목련,Magnolia denudata,Magnoliaceae,3~4월,보통,납품됨(4자리로 개명 필요)
0011_목련.png,11,목련,Magnolia kobus,Magnoliaceae,3~6월,흔함,납품됨(4자리로 개명 필요)
0012_자목련.png,12,자목련,Magnolia liliiflora,Magnoliaceae,,보통,납품됨(4자리로 개명 필요)
0013_산수유.png,13,산수유,Cornus officinalis,Cornaceae,3~4월,흔함,납품됨(4자리로 개명 필요)
0014_생강나무.png,14,생강나무,Lindera obtusiloba,Lauraceae,,흔함,납품됨(4자리로 개명 필요)
0015_동백꽃.png,15,동백꽃,Camellia japonica,Theaceae,3~5월,흔함,납품됨(4자리로 개명 필요)
0016_애기동백.png,16,애기동백,Camellia sasanqua,Theaceae,12~1월,보통,납품됨(4자리로 개명 필요)
0017_명자나무꽃.png,17,명자나무꽃,Chaenomeles speciosa,Rosaceae,3~4월,보통,납품됨(4자리로 개명 필요)
0018_조팝나무.png,18,조팝나무,Spiraea prunifolia f. simpliciflora,Rosaceae,4~5월,,납품됨(4자리로 개명 필요)
0019_수수꽃다리.png,19,수수꽃다리,Syringa oblata var. dilatata,,,,납품됨(4자리로 개명 필요)
0020_이팝나무.png,20,이팝나무,Chionanthus retusus,Oleaceae,4~5월,흔함,납품됨(4자리로 개명 필요)
0021_아까시나무.png,21,아까시나무,Robinia pseudoacacia,Fabaceae,5~6월,흔함,납품됨(4자리로 개명 필요)
0022_등나무.png,22,등나무,Wisteria floribunda,Fabaceae,4~6월,흔함,납품됨(4자리로 개명 필요)
0023_병꽃나무.png,23,병꽃나무,Weigela subsessilis,Caprifoliaceae,4~6월,흔함,납품됨(4자리로 개명 필요)
0024_황매화.png,24,황매화,Kerria japonica,Rosaceae,4월,흔함,납품됨(4자리로 개명 필요)
0025_산딸나무.png,25,산딸나무,Cornus kousa,Cornaceae,5~6월,흔함,납품됨(4자리로 개명 필요)
0026_쥐똥나무.png,26,쥐똥나무,Ligustrum obtusifolium,Oleaceae,4~7월,흔함,납품됨(4자리로 개명 필요)
0027_모란.png,27,모란,Paeonia suffruticosa,,,,납품됨(4자리로 개명 필요)
0028_작약.png,28,작약,Paeonia lactiflora,Ranunculaceae,4~6월,보통,납품됨(4자리로 개명 필요)
0029_찔레꽃.png,29,찔레꽃,Rosa multiflora,Rosaceae,4~6월,흔함,납품됨(4자리로 개명 필요)
0030_마가목.png,30,마가목,Sorbus commixta,Rosaceae,,흔함,납품됨(4자리로 개명 필요)
0031_민들레.png,31,민들레,Taraxacum mongolicum,Asteraceae,4~5월,보통,납품됨(4자리로 개명 필요)
